phi_degree,psi_degree,free_energy_kj_mol,samples
82.50000000000001,-162.5,17.85320759846901,0.0
87.5,-162.5,18.49221825337104,0.0
92.5,-162.5,18.84830973056434,0.0
97.49999999999999,-162.5,19.040136852337533,0.0
102.49999999999999,-162.5,19.173630198494205,0.0
107.49999999999999,-162.5,19.282126209874452,0.0
112.49999999999997,-162.5,19.352546384216087,0.0
117.49999999999997,-162.5,19.358052236404696,0.0
122.50000000000001,-162.5,19.244489517412728,0.0
127.50000000000001,-162.5,18.899234099149357,0.0
132.5,-162.5,18.180089272751307,0.0
137.5,-162.5,17.04531673542976,0.0
142.5,-162.5,15.680921186147385,2.0
147.49999999999997,-162.5,14.427797639336104,19.0
152.49999999999997,-162.5,13.51184748952729,28.0
157.49999999999997,-162.5,12.878014896236767,21.0
162.49999999999997,-162.5,12.316235348119376,51.0
167.5,-162.5,11.672204761269082,55.0
172.5,-162.5,10.902257387903616,15.0
177.5,-162.5,10.022569776686009,27.0
-177.5,-157.5,10.824075113104017,45.0
-172.5,-157.5,9.952828969089396,32.0
-167.5,-157.5,9.071798099047493,25.0
-162.5,-157.5,8.24974599524936,67.0
-157.5,-157.5,7.525811962692225,36.0
-152.5,-157.5,7.015986757913036,30.0
-147.5,-157.5,6.952960385971499,85.0
-142.5,-157.5,7.551611025127734,82.0
-137.5,-157.5,8.808751427499516,57.0
-132.5,-157.5,10.452594811758392,37.0
-127.50000000000001,-157.5,12.115568424824328,8.0
-122.50000000000001,-157.5,13.547452692496034,17.0
-117.50000000000001,-157.5,14.655946387125782,11.0
-112.5,-157.5,15.417914138607673,0.0
-107.5,-157.5,15.83624626489854,2.0
-102.5,-157.5,15.942924831623081,19.0
-97.5,-157.5,15.76436512078059,0.0
-92.50000000000001,-157.5,15.320353598120652,3.0
-87.5,-157.5,14.713295191738451,7.0
-82.50000000000001,-157.5,14.172813157719565,33.0
-77.5,-157.5,13.972101082009045,14.0
-72.5,-157.5,14.30651234826756,17.0
-67.5,-157.5,15.196385459887967,15.0
-62.50000000000001,-157.5,16.433093773658687,8.0
-57.500000000000014,-157.5,17.656953420504895,0.0
-52.500000000000014,-157.5,18.570265223854676,0.0
-47.5,-157.5,19.093035218904706,0.0
-42.5,-157.5,19.32425033621227,0.0
-37.50000000000001,-157.5,19.40380497500001,0.0
-32.500000000000014,-157.5,19.4255529827107,0.0
-27.499999999999993,-157.5,19.430758569760858,0.0
-22.5,-157.5,19.43221657769858,0.0
-17.500000000000007,-157.5,19.432798208773978,0.0
-12.50000000000001,-157.5,19.43304599615585,0.0
-7.500000000000017,-157.5,19.433131313258492,0.0
-2.4999999999999973,-157.5,19.433124649666105,0.0
2.4999999999999973,-157.5,19.432855252349544,0.0
7.499999999999991,-157.5,19.430965481021033,0.0
12.499999999999986,-157.5,19.420871402708045,0.0
17.500000000000007,-157.5,19.379142286554735,0.0
22.5,-157.5,19.245783331554943,0.0
27.499999999999993,-157.5,18.91682949993105,0.0
32.499999999999986,-157.5,18.29107982050438,0.0
37.499999999999986,-157.5,17.371614633017934,0.0
42.5,-157.5,16.319607464997894,51.0
47.5,-157.5,15.363787249716479,35.0
52.49999999999999,-157.5,14.657289875364935,64.0
57.499999999999986,-157.5,14.258160860416867,21.0
62.49999999999998,-157.5,14.217331505820807,2.0
67.49999999999997,-157.5,14.604520529351632,9.0
72.49999999999997,-157.5,15.41223631382311,10.0
77.50000000000001,-157.5,16.456380739730765,0.0
82.50000000000001,-157.5,17.428395854304416,21.0
87.5,-157.5,18.098385355522883,6.0
92.5,-157.5,18.46587075207234,0.0
97.49999999999999,-157.5,18.690984008189925,0.0
102.49999999999999,-157.5,18.904240422482175,0.0
107.49999999999999,-157.5,19.115871584680587,0.0
112.49999999999997,-157.5,19.273782116681378,0.0
117.49999999999997,-157.5,19.33707359403707,0.0
122.50000000000001,-157.5,19.26889438233244,0.0
127.50000000000001,-157.5,18.987340275976162,0.0
132.5,-157.5,18.370882674108824,0.0
137.5,-157.5,17.366739631627333,0.0
142.5,-157.5,16.117396460020252,0.0
147.49999999999997,-157.5,14.925491182533262,2.0
152.49999999999997,-157.5,14.030398644638556,24.0
157.49999999999997,-157.5,13.441815561933202,53.0
162.49999999999997,-157.5,13.016362778333566,23.0
167.5,-157.5,12.620611104580208,0.0
172.5,-157.5,12.167350009919643,6.0
177.5,-157.5,11.580414195034642,21.0
-177.5,-152.5,12.049437061918292,26.0
-172.5,-152.5,11.272609084918194,44.0
-167.5,-152.5,10.39433442639804,49.0
-162.5,-152.5,9.45184264841153,0.0
-157.5,-152.5,8.537837475472884,45.0
-152.5,-152.5,7.893524876522897,136.0
-147.5,-152.5,7.792415576984313,88.0
-142.5,-152.5,8.339882745687072,75.0
-137.5,-152.5,9.43005683588681,50.0
